,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
28,1600,0,0,1,2,0,TA,1,1277.0,0.0,1,6,1.0,0.0,TA,207.0,1,2,2,4,0,TA,TA,8,8,4,Gd,2,1,1,6,319.0,1.0,NG,0,NG,0,0,1600,0,1,TA,2,29,1,TA,3,0,16321,1,47.0,0,0,20,3,0.0,3,1,0,12,12,258,6,5,2,0,NPool,1,1,4,207500.0,8,0,1,6,1484.0,0,288,1957,1997,2006
29,520,0,0,1,1,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,520.0,0,1,7,4,87,TA,TA,8,8,4,NFQu,0,0,1,6,240.0,1.0,NG,0,NG,0,0,520,0,1,Fa,2,30,1,Fa,3,0,6324,4,60.0,0,0,30,4,0.0,3,1,0,5,3,0,6,4,2,0,NPool,1,1,4,68500.0,8,0,1,4,520.0,0,49,1927,1950,2008
30,649,668,0,2,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,649.0,0,1,2,4,172,Fa,TA,3,3,2,NFQu,0,0,1,6,250.0,1.0,NG,0,NG,0,0,1317,0,1,TA,5,31,1,TA,3,0,8500,4,50.0,3,0,70,0,0.0,3,1,0,7,9,54,4,4,0,0,NPool,1,2,4,40000.0,8,0,1,6,649.0,0,0,1920,1950,2008
31,1228,0,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,1228.0,1,2,2,4,0,TA,TA,6,6,2,NFQu,0,1,1,6,271.0,1.0,NG,0,NG,0,0,1228,1,1,Gd,2,32,1,Gd,3,0,8544,1,68.0,0,0,20,3,0.0,3,1,0,6,19,65,6,5,2,0,NPool,1,1,4,149350.0,8,0,1,6,1228.0,0,0,1966,2006,2008
32,1234,0,0,1,3,0,TA,0,0.0,0.0,6,6,0.0,0.0,Ex,1234.0,1,2,2,4,0,TA,Gd,12,13,4,NFQu,0,2,2,6,484.0,2.0,NG,0,NG,0,0,1234,0,1,Ex,2,33,1,Gd,3,0,11049,0,85.0,3,0,20,3,0.0,3,1,0,1,5,30,5,8,2,0,NPool,1,1,4,179900.0,8,0,1,7,1234.0,0,0,2007,2007,2008
33,1700,0,0,1,4,0,TA,3,1018.0,0.0,5,6,0.0,1.0,TA,380.0,1,2,2,4,0,TA,TA,3,3,4,Gd,1,1,1,6,447.0,2.0,NG,0,NG,0,0,1700,1,1,Gd,2,34,1,Gd,3,0,10552,4,70.0,0,0,20,3,0.0,3,1,0,4,12,38,5,5,2,0,NPool,1,3,4,165500.0,8,0,1,6,1398.0,0,0,1959,1959,2010
34,1561,0,0,1,2,4,TA,3,1153.0,0.0,2,6,1.0,0.0,Ex,408.0,1,2,2,4,0,TA,Ex,8,8,4,Gd,1,2,2,6,556.0,2.0,NG,0,NG,0,0,1561,0,1,Ex,2,35,1,Ex,3,0,7313,4,60.0,3,0,120,3,246.0,1,1,0,8,16,47,5,9,2,0,NPool,1,3,4,277500.0,8,0,1,6,1561.0,0,203,2005,2005,2007
35,1132,1320,0,1,4,0,TA,0,0.0,0.0,6,6,0.0,0.0,Ex,1117.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,3,6,691.0,3.0,NG,0,NG,0,0,2452,1,1,Ex,5,36,1,Gd,3,0,13418,4,108.0,3,0,60,3,132.0,4,1,0,9,16,32,5,8,2,0,NPool,1,1,4,309000.0,8,0,1,9,1117.0,0,113,2004,2005,2006
36,1097,0,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,Gd,1097.0,1,2,2,4,0,TA,TA,12,13,4,NFQu,0,2,1,6,672.0,2.0,NG,0,NG,0,0,1097,1,1,Ex,2,37,1,TA,3,0,10859,0,112.0,3,0,20,3,0.0,3,1,0,6,5,64,5,5,2,0,NPool,1,1,4,145000.0,8,0,1,6,1097.0,0,392,1994,1995,2009
37,1297,0,0,1,3,0,TA,3,1213.0,0.0,5,6,0.0,1.0,TA,84.0,1,2,2,4,0,TA,TA,13,14,4,TA,1,1,1,6,498.0,2.0,NG,0,NG,0,0,1297,0,1,Gd,2,38,1,TA,3,0,8532,4,74.0,3,0,20,3,650.0,1,1,0,10,12,0,6,5,2,0,NPool,1,3,4,153000.0,8,0,1,5,1297.0,0,0,1954,1990,2009
38,1057,0,0,1,3,0,TA,3,731.0,0.0,2,6,1.0,0.0,TA,326.0,1,2,2,4,0,Gd,TA,12,13,4,NFQu,0,1,1,6,246.0,1.0,NG,0,NG,0,0,1057,0,1,TA,2,39,1,Gd,3,0,7922,4,68.0,3,0,20,3,0.0,3,1,0,1,12,52,7,5,2,0,NPool,1,1,0,109000.0,8,0,1,5,1057.0,0,0,1953,2007,2010
39,1152,0,0,1,2,2,NoBsmt,4,0.0,0.0,4,4,0.0,0.0,NoBsmt,0.0,0,2,2,2,0,TA,TA,0,10,4,NFQu,0,2,2,6,0.0,0.0,NG,0,NG,0,0,1152,0,1,TA,2,40,2,Fa,3,0,6040,4,65.0,3,0,90,3,0.0,3,1,0,6,7,0,5,4,0,0,NPool,1,1,1,82000.0,8,0,1,6,0.0,0,0,1955,1955,2008
40,1324,0,0,1,3,0,TA,3,643.0,0.0,5,6,0.0,0.0,TA,445.0,1,2,2,4,0,TA,TA,13,14,1,TA,1,1,2,6,440.0,2.0,NG,0,NG,0,0,1324,0,1,Ex,2,41,1,TA,3,0,8658,4,84.0,3,0,20,3,101.0,1,1,0,12,12,138,5,6,2,0,NPool,1,1,0,160000.0,8,0,1,6,1088.0,0,0,1965,1965,2006
41,1328,0,0,1,2,0,TA,1,967.0,0.0,1,6,0.0,1.0,TA,383.0,1,2,2,4,0,Gd,TA,12,13,4,Gd,2,1,1,6,308.0,1.0,NG,0,NG,0,0,1328,1,1,Gd,2,42,1,TA,3,0,16905,4,115.0,3,0,20,3,0.0,3,1,0,7,23,104,6,5,1,0,NPool,1,1,4,170000.0,8,0,1,5,1350.0,0,0,1959,1959,2007
42,884,0,0,1,2,0,TA,0,747.0,93.0,0,3,1.0,0.0,Gd,0.0,1,2,2,4,0,TA,TA,6,6,2,NFQu,0,1,1,6,504.0,2.0,NG,0,NG,0,0,884,0,1,Gd,6,43,1,Gd,3,0,9180,1,68.0,0,0,85,3,0.0,3,1,0,12,20,0,7,5,2,0,NPool,1,1,4,144000.0,8,0,1,5,840.0,0,240,1983,1983,2007
43,938,0,0,1,3,0,TA,0,280.0,491.0,3,1,1.0,0.0,Gd,167.0,1,2,2,4,0,TA,TA,12,13,2,NFQu,0,1,1,6,308.0,1.0,NG,0,NG,0,0,938,0,1,TA,2,44,1,TA,3,0,9200,1,68.0,0,0,20,3,0.0,3,1,0,7,5,0,6,5,2,0,NPool,1,3,4,130250.0,8,0,1,5,938.0,0,145,1975,1980,2008
44,1150,0,0,1,3,0,TA,3,179.0,506.0,0,1,1.0,0.0,TA,465.0,1,2,2,0,0,TA,TA,3,14,4,NFQu,0,1,1,6,300.0,1.0,NG,0,NG,0,0,1150,0,1,Ex,2,45,1,TA,3,0,7945,4,70.0,3,0,20,3,0.0,3,1,0,5,12,0,6,5,2,0,NPool,1,1,4,141000.0,8,0,1,6,1150.0,0,0,1959,1959,2006
45,1752,0,0,1,2,4,TA,3,456.0,0.0,2,6,1.0,0.0,Ex,1296.0,1,2,2,4,0,TA,Ex,8,8,4,Gd,1,2,2,6,576.0,2.0,NG,0,NG,0,0,1752,0,1,Ex,2,46,1,Ex,3,0,7658,4,61.0,3,0,120,3,412.0,1,1,0,2,16,82,5,9,2,0,NPool,1,3,4,319900.0,8,0,1,6,1752.0,0,196,2005,2005,2010
46,1518,631,0,1,1,0,TA,3,1351.0,0.0,2,6,1.0,0.0,Ex,83.0,1,2,2,4,0,TA,Gd,12,13,4,Ex,1,2,1,6,670.0,2.0,NG,0,NG,0,0,2149,1,1,Ex,0,47,1,Gd,3,0,12822,1,48.0,0,0,50,3,0.0,3,1,0,8,11,43,5,7,2,0,NPool,1,1,0,239686.0,8,198,1,6,1434.0,0,168,2003,2003,2009
47,1656,0,0,1,3,0,TA,0,24.0,0.0,2,6,0.0,0.0,Gd,1632.0,1,2,2,4,0,TA,Gd,12,13,4,NFQu,0,2,2,6,826.0,3.0,NG,0,NG,0,0,1656,0,1,Ex,2,48,1,Gd,3,0,11096,4,84.0,3,0,20,1,0.0,3,1,0,7,21,146,5,8,2,0,NPool,1,1,4,249700.0,8,0,1,7,1656.0,0,0,2006,2006,2007
48,736,716,0,1,2,1,TA,3,0.0,0.0,6,6,0.0,0.0,TA,736.0,1,2,2,4,102,TA,TA,8,8,4,NFQu,0,0,2,6,0.0,0.0,NG,0,NG,0,0,1452,0,1,Gd,5,49,3,TA,3,0,4456,4,33.0,3,0,190,4,0.0,3,1,0,6,17,0,5,4,0,0,NPool,1,1,5,113000.0,6,0,1,8,736.0,0,0,1920,2008,2009
49,955,0,0,1,3,0,TA,3,763.0,0.0,1,6,1.0,0.0,TA,192.0,1,2,2,4,0,TA,TA,6,6,2,NFQu,0,1,1,6,386.0,1.0,NG,0,NG,0,0,955,0,1,Ex,2,50,1,TA,3,0,7742,4,66.0,3,0,20,3,0.0,3,1,0,1,19,0,7,5,2,0,NPool,1,1,4,127000.0,8,0,1,6,955.0,0,0,1966,1966,2007
50,794,676,0,1,3,0,TA,0,182.0,0.0,2,6,0.0,1.0,Gd,612.0,1,2,2,4,0,TA,TA,12,13,4,NFQu,0,2,2,6,388.0,2.0,NG,0,NG,0,0,1470,0,1,Gd,5,51,1,TA,3,0,13869,0,68.0,1,0,60,3,0.0,3,1,0,7,8,75,6,6,2,0,NPool,1,1,4,177000.0,8,0,1,6,794.0,0,0,1997,1997,2007
51,816,0,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,816.0,1,2,2,4,0,TA,TA,13,14,2,Gd,1,2,1,6,528.0,2.0,NG,0,NG,0,0,1176,0,1,TA,0,52,1,TA,3,0,6240,4,52.0,3,360,50,4,0.0,3,3,400,9,3,0,6,6,2,0,NPool,1,1,4,114500.0,8,0,1,6,816.0,0,112,1934,1950,2006
52,816,0,0,1,2,2,TA,1,104.0,712.0,3,2,1.0,0.0,Gd,0.0,0,8,2,4,0,TA,Fa,13,14,4,NFQu,0,1,1,6,516.0,2.0,NG,0,NG,0,0,816,0,1,TA,2,53,1,TA,0,1,8472,0,110.0,1,0,90,4,0.0,3,1,0,5,9,0,5,5,2,0,NPool,1,1,4,110000.0,8,0,0,5,816.0,0,106,1963,1963,2010
53,1842,0,0,1,0,0,TA,1,1810.0,0.0,2,6,2.0,0.0,Ex,32.0,1,2,2,4,0,TA,Gd,14,15,4,Gd,1,1,0,6,894.0,3.0,NG,0,NG,0,0,1842,1,1,Gd,2,54,1,Gd,2,0,50271,4,68.0,0,0,20,3,0.0,3,1,0,11,24,72,5,9,2,0,NPool,7,1,4,385000.0,8,0,1,5,1842.0,0,857,1981,1987,2006
54,1360,0,0,1,3,0,TA,3,384.0,0.0,0,6,0.0,0.0,TA,0.0,1,2,2,4,0,TA,TA,8,8,2,TA,1,1,1,2,572.0,2.0,NG,0,NG,0,0,1360,0,1,TA,7,55,1,TA,0,1,7134,4,60.0,3,0,80,3,0.0,3,1,0,2,12,50,5,5,2,0,NPool,1,1,4,130000.0,8,0,1,6,384.0,0,0,1955,1955,2007
55,1425,0,407,1,3,0,TA,3,490.0,0.0,1,6,0.0,0.0,TA,935.0,1,2,2,4,0,TA,TA,6,10,4,Gd,1,1,2,6,576.0,2.0,NG,0,NG,0,0,1425,0,1,Gd,2,56,1,TA,3,0,10175,4,100.0,0,0,20,3,272.0,1,1,0,7,12,0,5,6,2,0,NPool,1,1,4,180500.0,8,0,1,7,1425.0,0,0,1964,1964,2008
56,983,756,0,2,3,3,TA,3,649.0,0.0,2,6,1.0,0.0,Gd,321.0,1,2,2,4,0,TA,Gd,8,8,4,NFQu,0,2,2,6,480.0,2.0,NG,0,NG,0,0,1739,1,1,Ex,5,57,1,Gd,3,0,2645,4,24.0,3,0,160,1,456.0,1,1,0,8,21,0,5,8,2,0,NPool,1,1,0,172500.0,8,0,1,7,970.0,0,115,1999,2000,2009
57,860,860,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,Gd,860.0,1,2,2,4,0,TA,Gd,12,13,4,NFQu,0,2,2,6,565.0,2.0,NG,0,NG,0,0,1720,1,1,Ex,5,58,1,Gd,3,0,11645,0,89.0,0,0,60,3,0.0,3,1,0,8,5,70,5,7,2,0,NPool,1,1,4,196500.0,8,0,1,7,860.0,0,0,2004,2004,2006
58,1426,1519,0,1,3,0,TA,1,0.0,0.0,6,6,0.0,0.0,Ex,1410.0,1,2,2,4,37,TA,Ex,12,13,4,Gd,1,2,3,6,641.0,3.0,NG,0,NG,0,0,2945,1,1,Ex,5,59,1,Gd,1,0,13682,1,66.0,1,0,60,3,1031.0,1,1,0,10,22,0,5,10,2,0,NPool,1,3,5,438780.0,6,0,1,10,1410.0,0,192,2006,2006,2006
59,780,0,0,1,2,0,TA,0,632.0,0.0,0,6,0.0,0.0,TA,148.0,1,2,2,4,0,TA,TA,6,6,2,NFQu,0,1,1,6,352.0,1.0,NG,0,NG,0,0,780,0,1,Ex,2,60,1,TA,0,0,7200,4,60.0,3,0,20,3,0.0,3,1,0,1,5,0,7,5,2,0,NPool,1,1,4,124900.0,8,0,1,4,780.0,0,196,1972,1972,2008
60,1158,0,0,1,3,0,TA,3,941.0,0.0,0,6,1.0,0.0,Gd,217.0,1,5,2,4,0,TA,TA,12,13,4,NFQu,0,2,1,6,576.0,2.0,NG,0,NG,0,0,1158,1,1,Ex,2,61,1,Gd,3,0,13072,4,63.0,3,0,20,3,0.0,3,1,0,5,20,50,5,6,2,0,NPool,1,1,5,158000.0,6,0,1,5,1158.0,0,0,2004,2004,2006
