,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
17,18,90,5,72.0,10791,2,,4,4,2,5,3,18,9,8,3,8,4,5,1967,1967,6,8,13,15,4.0,0.0,4,5,3,,,,,0,,0,0,0,6,4,2,5.0,1296,0,0,1296,0,0,2,0,2,2,4,6,7,0,,2.0,1967.0,3.0,2,516,5.0,5.0,3,0,0,0,0,0,0,,,Shed,500,10,2006,9,6,90000
18,19,20,5,66.0,13695,2,,4,4,2,5,3,16,4,8,5,8,5,5,2004,2004,6,8,15,16,4.0,0.0,4,5,6,4.0,4.0,4.0,5.0,646,6.0,0,468,1114,6,5,2,5.0,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,,5.0,2004.0,3.0,2,576,5.0,5.0,3,0,102,0,0,0,0,,,,0,6,2008,9,6,159000
19,20,20,5,70.0,7560,2,,4,4,2,5,3,25,9,8,5,8,5,6,1958,1965,5,8,9,12,4.0,0.0,4,5,5,4.0,4.0,4.0,1.0,504,6.0,0,525,1029,6,4,2,5.0,1339,0,0,1339,0,0,1,0,3,1,4,6,5,0,,6.0,1958.0,3.0,1,294,5.0,5.0,3,0,0,0,0,0,0,,MnPrv,,0,5,2009,7,4,139000
20,21,60,5,101.0,14215,2,,3,4,2,4,3,19,9,8,5,7,8,5,2005,2006,6,8,15,16,3.0,380.0,3,5,6,2.0,4.0,3.0,6.0,0,6.0,0,1158,1158,6,5,2,5.0,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,5.0,4.0,2005.0,2.0,3,853,5.0,5.0,3,240,154,0,0,0,0,,,,0,11,2006,8,5,325300
21,22,45,4,57.0,7449,2,2.0,4,3,2,5,3,10,9,8,5,3,7,7,1930,1950,6,8,12,13,4.0,0.0,4,5,6,4.0,4.0,4.0,6.0,0,6.0,0,637,637,6,5,2,3.0,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,5.0,6.0,1930.0,3.0,1,280,5.0,5.0,2,0,0,205,0,0,0,,GdPrv,,0,6,2007,9,6,139400
22,23,20,5,75.0,9742,2,,4,4,2,5,3,24,9,8,5,8,8,5,2002,2002,5,8,15,16,3.0,281.0,3,5,6,3.0,4.0,4.0,6.0,0,6.0,0,1777,1777,6,5,2,5.0,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,5.0,6.0,2002.0,2.0,2,534,5.0,5.0,3,171,159,0,0,0,0,,,,0,9,2008,9,6,230000
23,24,120,4,44.0,4224,2,,4,4,2,5,3,5,9,8,4,8,5,7,1976,1976,6,8,10,11,4.0,0.0,4,5,6,3.0,4.0,4.0,5.0,840,6.0,0,200,1040,6,4,2,5.0,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,4.0,6.0,1976.0,3.0,2,572,5.0,5.0,3,100,110,0,0,0,0,,,,0,6,2007,9,6,129900
24,25,20,5,,8246,2,,3,4,2,5,3,18,9,8,5,8,5,8,1968,2001,6,8,11,12,4.0,0.0,4,4,5,4.0,4.0,1.0,2.0,188,2.0,668,204,1060,6,5,2,5.0,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,4.0,6.0,1968.0,3.0,1,270,5.0,5.0,3,406,90,0,0,0,0,,MnPrv,,0,5,2010,9,6,154000
25,26,20,5,110.0,14230,2,,4,4,2,4,3,19,9,8,5,8,8,5,2007,2007,6,8,15,16,2.0,640.0,3,5,6,3.0,4.0,4.0,6.0,0,6.0,0,1566,1566,6,5,2,5.0,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,5.0,6.0,2007.0,2.0,3,890,5.0,5.0,3,0,56,0,0,0,0,,,,0,7,2009,9,6,256300
26,27,20,5,60.0,7200,2,,4,4,2,4,3,25,9,8,5,8,5,7,1951,2000,6,8,12,13,4.0,0.0,4,5,5,4.0,4.0,1.0,3.0,234,5.0,486,180,900,6,4,2,5.0,900,0,0,900,0,1,1,0,3,1,3,5,7,0,,5.0,2005.0,3.0,2,576,5.0,5.0,3,222,32,0,0,0,0,,,,0,5,2010,9,6,134800
27,28,20,5,98.0,11478,2,,4,4,2,5,3,19,9,8,5,8,8,5,2007,2008,6,8,15,16,2.0,200.0,3,5,6,2.0,4.0,4.0,5.0,1218,6.0,0,486,1704,6,5,2,5.0,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,5.0,6.0,2008.0,2.0,3,772,5.0,5.0,3,0,50,0,0,0,0,,,,0,5,2010,9,6,306000
28,29,20,5,47.0,16321,2,,3,4,2,3,3,25,9,8,5,8,5,6,1957,1997,6,8,13,15,4.0,0.0,4,5,5,4.0,4.0,2.0,3.0,1277,6.0,0,207,1484,6,4,2,5.0,1600,0,0,1600,1,0,1,0,2,1,4,6,7,2,5.0,6.0,1957.0,2.0,1,319,5.0,5.0,3,288,258,0,0,0,0,,,,0,12,2006,9,6,207500
29,30,30,4,60.0,6324,2,,3,4,2,5,3,15,8,6,5,8,4,6,1927,1950,6,8,13,15,4.0,0.0,4,5,4,4.0,4.0,4.0,6.0,0,6.0,0,520,520,6,2,1,5.0,520,0,0,520,0,0,1,0,1,1,1,4,7,0,,5.0,1920.0,3.0,1,240,4.0,5.0,3,49,0,87,0,0,0,,,,0,5,2008,9,6,68500
30,31,70,1,50.0,8500,2,1.0,4,4,2,5,3,10,8,8,5,7,4,4,1920,1950,3,8,9,8,4.0,0.0,4,3,4,4.0,4.0,4.0,6.0,0,6.0,0,649,649,6,4,1,5.0,649,668,0,1317,0,0,1,0,3,1,4,6,7,0,,5.0,1920.0,3.0,1,250,5.0,4.0,2,0,54,172,0,0,0,,MnPrv,,0,7,2008,9,6,40000
31,32,20,5,,8544,2,,3,4,2,3,3,18,9,8,5,8,5,6,1966,2006,6,8,14,14,4.0,0.0,4,5,5,4.0,4.0,4.0,6.0,0,6.0,0,1228,1228,6,3,2,5.0,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,,6.0,1966.0,3.0,1,271,5.0,5.0,3,0,65,0,0,0,0,,MnPrv,,0,6,2008,9,6,149350
32,33,20,5,85.0,11049,2,,4,4,2,4,3,24,9,8,5,8,8,5,2007,2007,6,8,15,16,4.0,0.0,3,5,6,2.0,4.0,3.0,6.0,0,6.0,0,1234,1234,6,5,2,5.0,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,,6.0,2007.0,2.0,2,484,5.0,5.0,3,0,30,0,0,0,0,,,,0,1,2008,9,6,179900
33,34,20,5,70.0,10552,2,,3,4,2,5,3,25,9,8,5,8,5,5,1959,1959,5,8,9,8,4.0,0.0,4,5,5,4.0,4.0,4.0,2.0,1018,6.0,0,380,1398,6,3,2,5.0,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,5.0,6.0,1959.0,2.0,2,447,5.0,5.0,3,0,38,0,0,0,0,,,,0,4,2010,9,6,165500
34,35,120,5,60.0,7313,2,,4,4,2,5,3,19,9,8,4,8,9,5,2005,2005,5,8,13,15,3.0,246.0,2,5,6,2.0,4.0,4.0,5.0,1153,6.0,0,408,1561,6,5,2,5.0,1561,0,0,1561,1,0,2,0,2,1,2,6,7,1,5.0,6.0,2005.0,1.0,2,556,5.0,5.0,3,203,47,0,0,0,0,,,,0,8,2007,9,6,277500
35,36,60,5,108.0,13418,2,,4,4,2,5,3,19,9,8,5,7,8,5,2004,2005,6,8,15,16,2.0,132.0,3,5,6,2.0,4.0,3.0,6.0,0,6.0,0,1117,1117,6,5,2,5.0,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,5.0,4.0,2004.0,1.0,3,691,5.0,5.0,3,113,32,0,0,0,0,,,,0,9,2006,9,6,309000
36,37,20,5,112.0,10859,2,,4,4,2,4,3,24,9,8,5,8,5,5,1994,1995,6,8,15,16,4.0,0.0,4,5,6,3.0,4.0,4.0,6.0,0,6.0,0,1097,1097,6,5,2,5.0,1097,0,0,1097,0,0,1,1,3,1,4,6,7,0,,6.0,1995.0,3.0,2,672,5.0,5.0,3,392,64,0,0,0,0,,,,0,6,2009,9,6,145000
37,38,20,5,74.0,8532,2,,4,4,2,5,3,25,9,8,5,8,5,6,1954,1990,5,8,12,13,3.0,650.0,4,5,5,4.0,4.0,4.0,2.0,1213,6.0,0,84,1297,6,3,2,5.0,1297,0,0,1297,0,1,1,0,3,1,4,5,7,1,4.0,6.0,1954.0,1.0,2,498,5.0,5.0,3,0,0,0,0,0,0,,,,0,10,2009,9,6,153000
38,39,20,5,68.0,7922,2,,4,4,2,5,3,25,9,8,5,8,5,7,1953,2007,6,8,15,16,4.0,0.0,4,4,5,4.0,4.0,4.0,5.0,731,6.0,0,326,1057,6,4,2,5.0,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,,5.0,1953.0,3.0,1,246,5.0,5.0,3,0,52,0,0,0,0,,,,0,1,2010,9,4,109000
39,40,90,5,65.0,6040,2,,4,4,2,5,3,22,9,8,3,8,4,5,1955,1955,6,8,6,12,4.0,0.0,4,5,6,,,,,0,,0,0,0,6,4,1,2.0,1152,0,0,1152,0,0,2,0,2,2,1,6,7,0,,,,,0,0,,,2,0,0,0,0,0,0,,,,0,6,2008,9,1,82000
40,41,20,5,84.0,8658,2,,4,4,2,5,3,25,9,8,5,8,6,5,1965,1965,6,8,12,13,3.0,101.0,4,5,5,4.0,4.0,4.0,2.0,643,6.0,0,445,1088,6,5,2,5.0,1324,0,0,1324,0,0,2,0,3,1,4,6,7,1,4.0,6.0,1965.0,2.0,2,440,5.0,5.0,3,0,138,0,0,0,0,,GdWo,,0,12,2006,9,4,160000
41,42,20,5,115.0,16905,2,,4,4,2,5,3,11,9,8,5,8,5,6,1959,1959,6,8,15,16,4.0,0.0,4,4,5,4.0,4.0,2.0,3.0,967,6.0,0,383,1350,6,3,2,5.0,1328,0,0,1328,0,1,1,1,2,1,4,5,7,2,5.0,6.0,1959.0,2.0,1,308,5.0,5.0,1,0,104,0,0,0,0,,,,0,7,2007,9,6,170000
42,43,85,5,,9180,2,,3,4,2,3,3,16,9,8,5,4,5,7,1983,1983,6,8,14,14,4.0,0.0,4,5,5,3.0,4.0,3.0,4.0,747,4.0,93,0,840,6,3,2,5.0,884,0,0,884,1,0,1,0,2,1,3,5,7,0,,6.0,1983.0,2.0,2,504,5.0,3.0,3,240,0,0,0,0,0,,MnPrv,,0,12,2007,9,6,144000
43,44,20,5,,9200,2,,3,4,2,3,3,24,9,8,5,8,5,6,1975,1980,5,8,15,16,4.0,0.0,4,5,5,3.0,4.0,3.0,1.0,280,3.0,491,167,938,6,4,2,5.0,938,0,0,938,1,0,1,0,3,1,4,5,7,0,,5.0,1977.0,3.0,1,308,5.0,5.0,3,145,0,0,0,0,0,,MnPrv,,0,7,2008,9,6,130250
44,45,20,5,70.0,7945,2,,4,4,2,5,3,25,9,8,5,8,5,6,1959,1959,6,8,9,13,4.0,0.0,4,5,5,4.0,4.0,4.0,4.0,179,3.0,506,465,1150,6,5,2,4.0,1150,0,0,1150,1,0,1,0,3,1,4,6,7,0,,6.0,1959.0,2.0,1,300,5.0,5.0,3,0,0,0,0,0,0,,,,0,5,2006,9,6,141000
45,46,120,5,61.0,7658,2,,4,4,2,5,3,19,9,8,4,8,9,5,2005,2005,5,8,13,15,3.0,412.0,2,5,6,2.0,4.0,4.0,5.0,456,6.0,0,1296,1752,6,5,2,5.0,1752,0,0,1752,1,0,2,0,2,1,2,6,7,1,5.0,6.0,2005.0,2.0,2,576,5.0,5.0,3,196,82,0,0,0,0,,,,0,2,2010,9,6,319900
46,47,50,5,48.0,12822,2,,3,4,2,3,3,13,9,8,5,6,7,5,2003,2003,6,8,15,16,4.0,0.0,3,5,6,2.0,4.0,4.0,5.0,1351,6.0,0,83,1434,6,5,2,5.0,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,2.0,6.0,2003.0,2.0,2,670,5.0,5.0,3,168,43,0,0,198,0,,,,0,8,2009,9,4,239686
47,48,20,3,84.0,11096,2,,4,4,2,5,3,21,9,8,5,8,8,5,2006,2006,6,8,15,16,4.0,0.0,3,5,6,3.0,4.0,3.0,5.0,24,6.0,0,1632,1656,6,5,2,5.0,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,,6.0,2006.0,2.0,3,826,5.0,5.0,3,0,146,0,0,0,0,,,,0,7,2007,9,6,249700
48,49,190,4,33.0,4456,2,,4,4,2,5,3,23,9,8,1,7,4,5,1920,2008,6,8,13,15,4.0,0.0,4,5,4,4.0,4.0,4.0,6.0,0,6.0,0,736,736,6,3,2,5.0,736,716,0,1452,0,0,2,0,2,3,4,8,7,0,,,,,0,0,,,2,0,0,102,0,0,0,,,,0,6,2009,8,5,113000
49,50,20,5,66.0,7742,2,,4,4,2,5,3,18,9,8,5,8,5,7,1966,1966,6,8,14,14,4.0,0.0,4,5,5,4.0,4.0,4.0,3.0,763,6.0,0,192,955,6,5,2,5.0,955,0,0,955,1,0,1,0,3,1,4,6,7,0,,6.0,1966.0,3.0,1,386,5.0,5.0,3,0,0,0,0,0,0,,MnPrv,,0,1,2007,9,6,127000
50,51,60,5,,13869,2,,2,4,2,4,3,20,9,8,5,7,6,6,1997,1997,6,8,15,16,4.0,0.0,4,5,6,3.0,4.0,3.0,5.0,182,6.0,0,612,794,6,3,2,5.0,794,676,0,1470,0,1,2,0,3,1,4,6,7,0,,6.0,1997.0,1.0,2,388,5.0,5.0,3,0,75,0,0,0,0,,,,0,7,2007,9,6,177000
51,52,50,4,52.0,6240,2,,4,4,2,5,3,15,9,8,5,6,6,6,1934,1950,6,8,12,13,4.0,0.0,4,5,6,4.0,4.0,4.0,6.0,0,6.0,0,816,816,6,4,2,5.0,816,0,360,1176,0,0,1,0,3,1,4,6,7,1,5.0,5.0,1985.0,3.0,2,528,5.0,5.0,3,112,0,0,0,0,0,,MnPrv,Shed,400,9,2006,9,6,114500
52,53,90,4,110.0,8472,1,,2,3,2,4,2,10,2,8,3,8,5,5,1963,1963,6,8,12,13,4.0,0.0,1,5,5,3.0,4.0,2.0,1.0,104,1.0,712,0,816,6,4,1,5.0,816,0,0,816,1,0,1,0,2,1,4,5,7,0,,2.0,1963.0,3.0,2,516,5.0,5.0,3,106,0,0,0,0,0,,,,0,5,2010,9,6,110000
53,54,20,5,68.0,50271,2,,3,1,2,5,3,3,9,8,5,8,9,5,1981,1987,6,6,8,10,4.0,0.0,3,5,5,2.0,4.0,2.0,5.0,1810,6.0,0,32,1842,6,3,2,5.0,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,5.0,6.0,1981.0,1.0,3,894,5.0,5.0,3,857,72,0,0,0,0,,,,0,11,2006,9,6,385000
54,55,80,5,60.0,7134,2,,4,3,2,5,2,25,9,8,5,5,5,5,1955,1955,6,8,13,15,4.0,0.0,4,5,5,4.0,4.0,4.0,4.0,384,6.0,0,0,384,6,4,2,5.0,1360,0,0,1360,0,0,1,0,3,1,4,6,5,1,4.0,5.0,1962.0,3.0,2,572,5.0,5.0,3,0,50,0,0,0,0,,MnPrv,,0,2,2007,9,6,130000
55,56,20,5,100.0,10175,2,,3,4,2,5,3,25,9,8,5,8,6,5,1964,1964,6,8,14,12,3.0,272.0,4,5,5,4.0,4.0,4.0,3.0,490,6.0,0,935,1425,6,3,2,5.0,1425,0,0,1425,0,0,2,0,3,1,4,7,7,1,5.0,6.0,1964.0,2.0,2,576,5.0,5.0,3,0,0,0,407,0,0,,,,0,7,2008,9,6,180500
56,57,160,3,24.0,2645,2,1.0,4,4,2,5,3,21,9,8,2,7,8,5,1999,2000,6,8,13,15,3.0,456.0,3,5,6,3.0,4.0,4.0,5.0,649,6.0,0,321,970,6,5,2,5.0,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,,6.0,1999.0,1.0,2,480,5.0,5.0,3,115,0,0,0,0,0,,,,0,8,2009,9,4,172500
57,58,60,5,89.0,11645,2,,3,4,2,4,3,24,9,8,5,7,7,5,2004,2004,6,8,15,16,4.0,0.0,3,5,6,3.0,4.0,4.0,6.0,0,6.0,0,860,860,6,5,2,5.0,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,,6.0,2004.0,2.0,2,565,5.0,5.0,3,0,70,0,0,0,0,,,,0,8,2006,9,6,196500
58,59,60,5,66.0,13682,2,,2,2,2,3,3,7,9,8,5,7,10,5,2006,2006,5,8,15,16,3.0,1031.0,2,5,6,2.0,4.0,2.0,6.0,0,6.0,0,1410,1410,6,5,2,5.0,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,5.0,4.0,2006.0,1.0,3,641,5.0,5.0,3,192,0,37,0,0,0,,,,0,10,2006,8,5,438780
59,60,20,5,60.0,7200,2,,4,3,2,5,3,24,9,8,5,8,5,7,1972,1972,6,8,14,14,4.0,0.0,4,5,5,4.0,4.0,3.0,4.0,632,6.0,0,148,780,6,5,2,5.0,780,0,0,780,0,0,1,0,2,1,4,4,7,0,,5.0,1973.0,3.0,1,352,5.0,5.0,3,196,0,0,0,0,0,,MnPrv,,0,1,2008,9,6,124900
60,61,20,5,63.0,13072,2,,4,4,2,5,3,16,4,8,5,8,6,5,2004,2004,6,8,15,16,4.0,0.0,4,5,6,3.0,4.0,4.0,4.0,941,6.0,0,217,1158,6,5,2,5.0,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,,5.0,2006.0,3.0,2,576,5.0,5.0,3,0,50,0,0,0,0,,,,0,5,2006,8,5,158000
61,62,75,4,60.0,7200,2,,4,4,2,5,3,10,9,8,5,2,5,7,1920,1996,6,8,13,15,4.0,0.0,4,5,4,4.0,2.0,4.0,6.0,0,6.0,0,530,530,6,4,1,5.0,581,530,0,1111,0,0,1,0,3,1,1,6,7,0,,5.0,1935.0,3.0,1,288,5.0,5.0,2,0,0,144,0,0,0,,,,0,3,2007,9,6,101000
62,63,120,5,44.0,6442,2,,3,4,2,5,3,19,9,8,4,8,8,5,2006,2006,6,8,15,16,2.0,178.0,3,5,6,3.0,3.0,1.0,5.0,24,6.0,0,1346,1370,6,5,2,5.0,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,5.0,6.0,2006.0,2.0,2,484,5.0,5.0,3,120,49,0,0,0,0,,,,0,10,2007,9,6,202500
63,64,70,4,50.0,10300,2,,3,3,2,5,3,23,6,7,5,7,7,6,1921,1950,6,8,7,9,4.0,0.0,4,5,4,4.0,4.0,4.0,6.0,0,6.0,0,576,576,6,3,2,5.0,902,808,0,1710,0,0,2,0,3,1,4,9,7,0,,5.0,1990.0,3.0,2,480,5.0,5.0,3,12,11,64,0,0,0,,GdPrv,,0,4,2010,9,6,140000
64,65,60,5,,9375,2,,4,4,2,5,3,24,9,8,5,7,7,5,1997,1998,6,8,15,16,3.0,573.0,4,5,6,3.0,4.0,4.0,5.0,739,6.0,0,318,1057,6,5,2,5.0,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,,6.0,1998.0,2.0,2,645,5.0,5.0,3,576,36,0,0,0,0,,GdPrv,,0,2,2009,9,6,219500
